instruction,input,output
Article R. 411-2 du Code rural et de la pêche maritime,Que dit Article R. 411-2 du CRPM ?,"L’arrêté du préfet du département est pris, dans les conditions fixées ci-dessous, après consultation des commissions consultatives paritaires des baux ruraux, prévues aux articles L. 411-11 et R. 414-1 à R. 414-5.
Le préfet du département demande à la commission consultative paritaire départementale des baux ruraux de lui adresser des propositions motivées établies sur la base des dispositions à l’article R. 411-1.
La commission doit présenter des propositions dans les deux mois de la réception de la demande.
En cas de carence de la commission ou si celle-ci, invitée à délibérer à nouveau, maintient des proposi- tions que le préfet estime ne pas pouvoir retenir, celui-ci demande au ministre chargé de l’agriculture de consulter la commission consultative paritaire nationale des baux ruraux. Celle-ci doit faire des propssitions dans un délai de deux mois à compter de la date de la réception de la demande de consultation.
En cas de carence, le préfet du département fixe, dans le mois suivant l’expiration de ce délai, les maxima et les minima exprimés en monnaie visés à l’article R. 411-1.
Il fixe également dans ce même délai les denrées et les quantités maxima et minima à retenir représentant les valeurs locatives des cultures permanentes viticoles, arboricoles, oléicoles et agrumicoles."
Jurisprudence,Qu'est ce qu'a apporté la jurisprudence ?,"La jurisprudence a pu apporter de précieuses précisions pratiques permettant de déterminer la liberté des parties dans le choix de la denrée de référence pour fixer le fermage. D’abord, la Cour de cassation a jugé que le loyer est déterminé par référence à une ou plusieurs denrées figurant dans l’arrêté et il n’est fait exception à ce principe que lorsque les denrées figurant à l’arrêté sont « parfaitement incompatibles » avec l’exploitation donnée à bail : Cass. 3e civ., 23 févr. 1994. Il s’agit d’un arrêt « Château Haut-Brion » : la circonstance que le « cru » particulier produit sur les biens affermés (ici « Château Haut-Brion ») ne soit pas spécifiquement visé dans l’arrêté préfectoral comme affecté de maxima/minima spéciaux n’autorise pas les parties à convenir librement du fermage en dehors des prévisions de l’arrêté"
Cour de cassation,Qu'est ce qu'a apporté la cours de cassation ?,"D’abord, la Cour de cassation a jugé que le loyer est déterminé par référence à une ou plusieurs denrées figurant dans l’arrêté et il n’est fait exception à ce principe que lorsque les denrées figurant à l’arrêté sont « parfaitement incompatibles » avec l’exploitation donnée à bail : Cass. 3e civ., 23 févr. 1994, n° 92-13.253 : JurisData n° 1994-000259 ; Bull. civ. 1994, III, n° 37. Il s’agit d’un arrêt « Château Haut-Brion » : la circonstance que le « cru » particulier produit sur les biens affermés (ici « Château Haut-Brion ») ne soit pas spécifiquement visé dans l’arrêté préfectoral comme affecté de maxima/minima spéciaux n’autorise pas les parties à convenir librement du fermage en dehors des prévisions de l’arrêté. Cette jurisprudence est intéressante notamment lorsqu’il est question, par exemple, de fixer le fermage pour la production d’une appellation qui ne serait pas spécifiquement visée dans l’arrêté préfectoral : cela n’autorise pas les parties à s’affranchir totalement de l’arrêté dans la mesure où cet arrêté viserait d’autres appellations écartant ainsi la parfaite incompatibilité avec la production des biens loués. Les parties doivent alors retenir un fermage afférant à une production « compatible » avec celle des biens loués."
Cours administrative,Qu'est ce qu'a apporté la la cours administrative ?,"Ensuite, la Cour administrative d’appel de BORDEAUX (CAA Bordeaux, 26 déc. 2006) a jugé qu’il n’y a pas d’illégalité (ni d’inconventionnalité) pour un arrêté préfecto- ral qui classe en catégorie exceptionnelle les terres qui supportent des vignes produisant des vins de crus classés ou de crus bourgeois sans faire un sort spécifique aux terres où sont produits des premiers grands crus classés (Château Haut-Brion) ; cet arrêt relevait en outre opportunément que l’arrêté n’interdisait pas aux parties de convenir d’un règlement du fermage en nature, mode de règlement qui permettait au bailleur de ne pas « souffrir » la moindre valorisation des crus classés ou bourgeois par rapport à son premier grand cru classé mais qui suppose que le bailleur valorise lui-même le fermage reçu en nature."
Fermage payable en monnaie ou nature,Est ce qu'un fermage  est payable en monnaie ou en nature ?,"L’article L. 411-12 du CRPM dispose :
«Le prix du bail est payable en espèces. Toutefois, pour les cultures permanentes viticoles, arboricoles, oléicoles ou agrumicoles et par accord entre les parties, le prix du bail est payable en nature ou partie en nature et partie en espèces. Sauf si le bailleur, en accord avec le preneur, a réalisé des investissements dépassant ses obligations légales ou lorsque des investissements sont imposés au bailleur par une personne morale de droit public, ou encore lorsque le bailleur a supporté définitivement l’indemnité due au preneur sortant en application des articles L. 411-69 à L. 411-77, le fermage ne peut comprendre, en sus du prix calculé comme indiqué à l’article L. 411-11, aucune redevance ou service de quelque nature que ce soit. »
"
Fermage payable en monnaie,Quand le fermage est en principe exprimé en monnaie et réglé en espèces ?,"Si le fermage est en principe exprimé en monnaie et réglé en espèces, le fermage viticole peut être réglé en monnaie ou en nature ou bien en ces deux modes chacun pour partie.
L’article R. 411-3 du CRPM précise les modalités selon lesquelles les parties au bail peuvent convenir du mode de règlement que ce soit lors de la conclusion du bail, de son renouvellement ou bien au cours de ceux-ci :
« Pour les cultures permanentes viticoles, arboricoles, oléicoles et agrumicoles, lors de la conclusion de chaque bail ou de son renouvellement, les parties optent pour l'un des modes de règlement du prix du bail prévu à l'article L. 411-12. Si cette option n'est pas faite, le prix est réglable en espèces. Les parties peuvent, en cours de bail, modifier d'un commun accord le mode de règlement antérieurement applicable. » Et de préciser qu’à défaut d’option des parties, le fermage est réglable en espèces."
Article  R. 411-5 du CRPM,Que dit l’article R. 411-5 du CRPM  ?,"Lorsque le fermage viticole est exprimé en une quantité de denrées et réglé en espèces, les parties doivent recourir à un cours pour calculer le montant du fermage ; c’est l’objet des dispositions de l’article R. 411-5 du CRPM :
« Sauf convention contraire entre les parties et pour les cultures permanentes viticoles, arboricoles, oléicoles et agrumicoles le montant en espèces du fermage est calculé selon le cours moyen, d'échéance à échéance, des denrées servant au calcul du prix du fermage. Le cours moyen est arrêté par le préfet du département sur avis de la commission consultative paritaire départementale. Il est publié au recueil des actes administratifs du département. »"
Article  L. 411-12 du CRPM,Que dit l'article L. 411-12 du CRPM ?,"Si un cours moyen est arrêté par le préfet du département, il est permis aux parties de recourir à un autre cours ; cette liberté contractuelle offerte aux parties est assez remarquable en ce qu’elle prend place parmi des dispositions qui sont, pour l’essentiel, d’ordre public (article L. 411-12 du CRPM).
Cette souplesse contractuelle pose toutefois la question des limites que doivent s’imposer les parties pour la fixation du cours à retenir pour calculer le fermage évalué en denrées afin d’éviter d’instituer un fermage qui pourrait être jugé anormalement bas ou anormalement élevé.
"
indexation du fermage sur l’indice annuel du fermage,Quel est l’indexation du fermage sur l’indice annuel du fermage ?,"L’indexation du fermage sur l’indice annuel du fermage ne s’applique pas aux baux dont les loyers sont exprimés en denrées et payés en espèces. Néanmoins, ces baux connaissent aussi une forme d’actualisation puisque l’article R.411-5 dispose que le montant en espèces du fermage est calculé selon « le cours moyen d'échéance à échéance des denrées servant au calcul du prix du fermage ». Ce cours moyen est fixé périodiquement par un arrêté préfectoral après avis de la commission consultative des baux ruraux."
Fermage du bail de terres à planter,Quel est le Fermage du bail de terres à planter ?,"C’est ici l’hypothèse d’un bail ayant pour objet la mise à disposition d’une parcelle de terre nue destinée à être plantée en vigne.
Cette situation est fréquemment prise en compte par les arrêtés préfectoraux, lesquels prévoient souvent des modalités spécifiques de fixation du fermage pour ce type de baux.
Il peut s’agir, par exemple :
· D’une absence de fermage pendant une durée fixée par l’arrêté préfectoral ;
· D’un fermage « viticole » applicable uniquement à compter de l’entrée en production et d’un fermage « agricole » avant l’entrée en production.
Sur ce sujet, la Cour de cassation a jugé licite l’adoption par les parties d’un fermage « évolutif » :"
,Que dit la Cour de cassation ?,"Il ressort de cet arrêt que les dispositions du code rural et de la pêche maritime encadrant la fixation du fermage n’interdisent pas aux parties de convenir d’un loyer évolutif (c’est-à-dire de plusieurs niveaux de loyers pour des périodes différentes d’exécution du bail) dès lors que les fermages ainsi stipulés reposent sur des denrées de références prévues par l’arrêté préfectoral en vigueur pour les cultures objet du bail.
En l’espèce, l’arrêté préfectoral applicable ouvrait la possibilité pour les « baux de terres à vocation agricoles destinées à être plantées en vigne » de choisir entre le blé ou le vin comme denrée de référence (y compris choisir un fermage « blé » pour une période de vigne en production) ; mais cette liberté contractuelle a été modifiée dans les arrêts suivants au profit d’une formule fermage agricole avant l’entrée en production/fermage viticole après l’entrée en production.
En pratique, dans la plupart des cas, c’est l’arrêté préfectoral qui institue un fermage évolutif en fonction de l’époque d’entrée en production auquel cas celui-ci s’impose aux parties.
Il ressort de ce rappel des modalités de fixation du fermage « viticole » des particularités assez indéniables outre qu’elles laissent parfois à la liberté contractuelle une place rarement accordée par le Statut du fermage.
Les modalités de révision du fermage viticole ne revêtent pas une telle spécificité."
Révision du fermage viticole,C'est quoi une révision du fermage viticole ?,"La notion de « révision » est ici entendue au sens large, à savoir les différentes hypothèses prévues par le CRPM pour procéder, selon certaines conditions, à une modification du fermage, soit pour le mettre en conformité en cours de bail, soit pour le fixer après un renouvellement."
La révision du fermage illicite,Qu'est ce la révision du fermage illicite ?,"Il s’agit ici de l’hypothèse dans laquelle le loyer du bail à ferme n’a pas été fixé conformément aux dispositions de l’article L. 411-11 du Code rural et de la pêche maritime, exception faite du champ d’application de l’action en révision du fermage anormal.
Le fermage illicite s’entend par exemple d’un loyer faisant référence à une denrée qui n’est pas comprise dans l’arrêté préfectoral applicable (Cass. 3e civ., 1er juill. 1987 : JCP 1998, II, 330, obs. Ourliac et de Juglart), ou bien d’un fermage exprimé en denrées alors qu’il ne s’agit pas d’une culture pour laquelle la dérogation au fermage exprimé en monnaie existe, etc.
La question pourrait également se poser de la licéité d’un fermage viticole exprimé en monnaie lorsque l’arrêté préfectoral du département considéré ne prévoit de minima et maxima qu’en denrées (étant toutefois rappelé que le préfet du département devrait en principe, pour les dépar- tements concernés par ces types de production, fixer à la fois un barème en monnaie et un barème en denrées).
L’action en régularisation du fermage illicite doit être intentée dans le respect de la prescription quinquennale.
Elle tend à faire déclarer nul le fermage illicite et à y faire substituer par le juge un loyer conforme à l’article L. 411-11 du Code rural et de la pêche maritime. Hormis le cas où le juge considère que les parties ont accepté même tacitement d’appliquer le loyer illicite, la modification judiciaire de celui-ci est rétroactive."
La révision du fermage anormal,Qu'est ce que la révision du fermage anormal ?,"Il s’agit de l’action prévue par l’article L. 411-13 du CRPM
« Le preneur ou le bailleur qui, lors de la conclusion du bail, a contracté à un prix supérieur ou infé- rieur d’au moins un dixième à la valeur locative de la catégorie du bien particulier donné à bail, peut, au cours de la troisième année de jouissance, et une seule fois pour chaque bail, saisir le tribunal paritaire qui fixe, pour la période du bail restant à courir à partir de la demande, le prix normal du fermage selon les modalités ci-dessus.
La faculté de révision prévue à l’alinéa précédent vaut pour la troisième année du premier bail, comme pour la troisième année de chacun des baux renouvelés. »
L’action en révision du fermage anormal est ouverte lors de la 3e année du bail initial et lors de la 3e année des baux renouvelés.
Cette action en révision a pour objet de remédier à un loyer qui n’est pas conforme aux minima et maxima déterminés par l’arrêté préfectoral applicable au bail considéré.
Elle est la seule action pouvant être mise en œuvre dans cette situation (Cass. 3e civ., 16 févr. 2010, n° 09-11.272 : JurisData n° 2010-051713). Le délai indiqué pour intenter cette action est sanctionné par l’irrecevabilité de la demande. Le délai commence à courir à compter, non pas de la conclusion du bail, mais de l’entrée en jouissance (Cass. soc. 14 déc. 1967 : Bull. civ. 1967, IV, n° 789).
Lorsqu’il est saisi valablement, le juge modifie le fermage pour le mettre en conformité avec le barème préfectoral, cette modification de loyer étant applicable à compter du jour de la demande en justice (Cass. 3e civ., 19 mars 1997 : Bull. civ. 1997, III, n° 64).
"
Le fermage du bail renouvelé,Qu'est ce que la révision du fermage renouvelé ?,"En premier lieu, le fermage du bail renouvelé peut faire l’objet d’une révision lorsque les minima/ maxima fixés par le préfet du département ont été modifiés en cours de bail (Article L. 411-11 du CRPM).
« L'autorité administrative détermine les maxima et les minima prévus aux alinéas ci-dessus sur proposition de commissions consultatives paritaires départementales. En cas de carence de ces commissions, l'autorité compétente procède elle-même à cette fixation.
Ces maxima et ces minima font l’objet d’un nouvel examen au plus tard tous les six ans. S’ils sont modifiés, le prix des baux en cours ne peut, sous réserve des dispositions figurant au premier alinéa de l’article L. 411-13, être révisé que lors du renouvellement ou, s’il s’agit d’un bail à long terme, en début de chaque nouvelle période de neuf ans. A défaut d’accord amiable, le tribunal paritaire des baux ruraux fixe le nouveau prix du bail. »
Lorsque le bail a été renouvelé, il n’est pas nécessaire que l’action soit intentée dans la période immédiatement consécutive à la modification du barème préfectoral (Cass. 3e civ., 10 déc. 2002 : Bull. civ. 2002, III, n° 258).
Puis, plus généralement, même si les minima et maxima fixés par le préfet du département n’ont pas été modifiés depuis la conclusion du bail initial, le renouvellement du bail permet de solliciter la fixation d’un nouveau loyer.
"
L’article L.411-50 du CRPM,Que dit l’article L.411-50 du CRPM ?,"A défaut de congé, le bail est renouvelé pour une durée de neuf ans. Sauf conventions contraires, les clauses et conditions du nouveau bail sont celles du bail précédent ; toutefois, à défaut d'accord entre les parties, le tribunal paritaire fixe le prix et statue sur les clauses et conditions contestées du nouveau bail ; le prix est établi conformément aux articles L. 411-11 à L. 411-16.  Il ressort de la jurisprudence qu’à défaut d’accord des parties sur le prix du bail renouvelé, le juge est tenu de statuer sur ce point : Cass. 3ème civ., 17 sept. 2013, n° 12-22.365.
La Cour de cassation a jugé que, contrairement aux conditions de l’action en révision du fermage anormal, « la loi n'impose aucun délai pour former une demande en fixation du prix du bail renouvelé. » (Cass. 3e civ., 30 mai 1972 : D. 1972, somm. p. 70 ; 3ème chambre civile, 27 Novembre 2012 – n° 11-22.046 : demande introduite 3 ans après le renouvellement).
La Haute cour a encore pu préciser que le prix fixé par le juge prend effet à la date de renouvelle- ment (Cass. soc., 20 févr. 1964 : Bull. civ. 1964, IV, n° 154 ; 3ème chambre civile, 11 Mars 2015 – n° 13-25.787).
"
,Quelle est l'autre précision de la jurisprudence  ?,"Autre précision jurisprudentielle qui présente une incidence particulière en matière de baux viti- coles lorsqu’ils ont pour objet une terre destinée à être plantée en vigne : il n’est pas tenu compte, pour fixer le fermage du bail renouvelé, des améliorations apportées au fonds dans la mesure où celles-ci font l’objet d’une appréciation et d’une indemnisation à la fin de la relation locative (Cass. 3e civ., 13 févr. 1970, n° 67-13.752 ; 3ème chambre civile, 5 avril 2018 – n° 17-15.832).
Il en ressort notamment, s’agissant d’un bail de terre destinées à être plantées en vigne venant à être renouvelé, que son fermage doit demeurer fixé selon les modalités prévues pour un bail de
terre à planter même si la plantation eut été effectuée avant le renouvellement. Cette solution vaut d’ailleurs que le bailleur accède ou non à la propriété des plantations même s’il a été jugé par la Cour de cassation que cette accession opère au renouvellement. En effet, le jeu de l’accession n’a pas pour effet d’écarter le principe selon lequel les améliorations sont appréciées et indemnisées uniquement à la fin de la relation locative, principe sur lequel se fonde la Cour de cassation pour écarter la prise en compte des améliorations dans la fixation du prix du bail renouvelé.
A cet égard, le Conseil d’Etat a également apporté sa contribution pour préciser le régime de fixation du fermage du bail renouvelé (CE, 29 mai 2019, n° 421101 : JurisData n° 2019-008911) : est illicite l’arrêté préfectoral qui permet au bailleur de demander une revalorisation du fermage prenant en compte les améliorations apportées par le preneur lors du bail précédent, sauf si elles ont déjà été indemnisées. En effet, les dispositions du CRPM relatives aux améliorations prévoient une indemnisation à la fin de la relation locative excluant que le bailleur en indemnise le preneur en cours de bail.
"
Conclusion du fermage viticole,Quelle conclusion pour fermage viticole ?,"Finalement, il apparait que c’est essentiellement dans les modalités de fixation du fermage viticole, son montant et son mode de règlement, que l’on peut lui trouver des spécificités au regard d’un fermage agricole classique, étant toutefois rappelé que ces modalités ne concernent pas exclusive- ment la vigne mais plus largement les terres nues destinées à supporter des cultures permanentes.
Mais l’on n’oubliera pas non plus que la mise à disposition d’une vigne peut se faire au moyen de conventions non moins spécifiques que le fermage « viticole » ; ainsi en est-il par exemple du bail à métayage (ou du plus local encore bail à vigneronnage) mais aussi du bail à complant."
